[2026-05-08T19:25:43.942+0530][0.363s][info][gc,heap     ] GC(2) Survivor regions: 4->4(4)
[2026-05-08T19:25:43.942+0530][0.363s][info][gc,heap     ] GC(2) Old regions: 30->51
[2026-05-08T19:25:43.942+0530][0.363s][info][gc,heap     ] GC(2) Humongous regions: 11->11
[2026-05-08T19:25:43.942+0530][0.363s][info][gc,metaspace] GC(2) Metaspace: 171K(384K)->171K(384K) NonClass: 165K(256K)->165K(256K) Class: 6K(128K)->6K(128K)
[2026-05-08T19:25:43.942+0530][0.363s][info][gc          ] GC(2) Pause Young (Normal) (G1 Evacuation Pause) 65M->66M(500M) 62.652ms
[2026-05-08T19:25:43.942+0530][0.363s][info][gc,cpu      ] GC(2) User=0.11s Sys=0.02s Real=0.06s
[2026-05-08T19:25:43.958+0530][0.379s][info][gc,start    ] GC(3) Pause Young (Normal) (G1 Evacuation Pause)
[2026-05-08T19:25:43.958+0530][0.379s][info][gc,task     ] GC(3) Using 2 workers of 2 for evacuation
[2026-05-08T19:25:44.025+0530][0.445s][info][gc,phases   ] GC(3)   Pre Evacuate Collection Set: 0.3ms
[2026-05-08T19:25:44.025+0530][0.446s][info][gc,phases   ] GC(3)   Merge Heap Roots: 0.2ms
[2026-05-08T19:25:44.025+0530][0.446s][info][gc,phases   ] GC(3)   Evacuate Collection Set: 65.5ms
[2026-05-08T19:25:44.025+0530][0.446s][info][gc,phases   ] GC(3)   Post Evacuate Collection Set: 0.3ms
[2026-05-08T19:25:44.025+0530][0.446s][info][gc,phases   ] GC(3)   Other: 0.1ms
[2026-05-08T19:25:44.025+0530][0.446s][info][gc,heap     ] GC(3) Eden regions: 21->0(21)
[2026-05-08T19:25:44.025+0530][0.446s][info][gc,heap     ] GC(3) Survivor regions: 4->4(4)
[2026-05-08T19:25:44.025+0530][0.446s][info][gc,heap     ] GC(3) Old regions: 51->72
[2026-05-08T19:25:44.025+0530][0.446s][info][gc,heap     ] GC(3) Humongous regions: 16->16
[2026-05-08T19:25:44.025+0530][0.446s][info][gc,metaspace] GC(3) Metaspace: 171K(384K)->171K(384K) NonClass: 165K(256K)->165K(256K) Class: 6K(128K)->6K(128K)
[2026-05-08T19:25:44.025+0530][0.446s][info][gc          ] GC(3) Pause Young (Normal) (G1 Evacuation Pause) 92M->92M(500M) 66.877ms
[2026-05-08T19:25:44.025+0530][0.446s][info][gc,cpu      ] GC(3) User=0.12s Sys=0.00s Real=0.07s
[2026-05-08T19:25:44.048+0530][0.469s][info][gc,start    ] GC(4) Pause Young (Normal) (G1 Evacuation Pause)
[2026-05-08T19:25:44.048+0530][0.469s][info][gc,task     ] GC(4) Using 2 workers of 2 for evacuation
[2026-05-08T19:25:44.112+0530][0.533s][info][gc,phases   ] GC(4)   Pre Evacuate Collection Set: 0.2ms
[2026-05-08T19:25:44.112+0530][0.533s][info][gc,phases   ] GC(4)   Merge Heap Roots: 0.2ms
[2026-05-08T19:25:44.112+0530][0.533s][info][gc,phases   ] GC(4)   Evacuate Collection Set: 62.4ms
[2026-05-08T19:25:44.112+0530][0.533s][info][gc,phases   ] GC(4)   Post Evacuate Collection Set: 0.4ms
[2026-05-08T19:25:44.112+0530][0.533s][info][gc,phases   ] GC(4)   Other: 0.1ms
[2026-05-08T19:25:44.112+0530][0.533s][info][gc,heap     ] GC(4) Eden regions: 21->0(21)
[2026-05-08T19:25:44.112+0530][0.533s][info][gc,heap     ] GC(4) Survivor regions: 4->4(4)
[2026-05-08T19:25:44.112+0530][0.533s][info][gc,heap     ] GC(4) Old regions: 72->94
[2026-05-08T19:25:44.112+0530][0.533s][info][gc,heap     ] GC(4) Humongous regions: 23->23
[2026-05-08T19:25:44.112+0530][0.533s][info][gc,metaspace] GC(4) Metaspace: 171K(384K)->171K(384K) NonClass: 165K(256K)->165K(256K) Class: 6K(128K)->6K(128K)
[2026-05-08T19:25:44.112+0530][0.533s][info][gc          ] GC(4) Pause Young (Normal) (G1 Evacuation Pause) 120M->120M(500M) 63.782ms
[2026-05-08T19:25:44.112+0530][0.533s][info][gc,cpu      ] GC(4) User=0.08s Sys=0.03s Real=0.06s
[2026-05-08T19:25:44.128+0530][0.549s][info][gc,start    ] GC(5) Pause Young (Normal) (G1 Evacuation Pause)
[2026-05-08T19:25:44.129+0530][0.549s][info][gc,task     ] GC(5) Using 2 workers of 2 for evacuation
[2026-05-08T19:25:44.182+0530][0.603s][info][gc,phases   ] GC(5)   Pre Evacuate Collection Set: 0.2ms
[2026-05-08T19:25:44.182+0530][0.603s][info][gc,phases   ] GC(5)   Merge Heap Roots: 0.1ms
[2026-05-08T19:25:44.182+0530][0.603s][info][gc,phases   ] GC(5)   Evacuate Collection Set: 53.1ms
[2026-05-08T19:25:44.182+0530][0.603s][info][gc,phases   ] GC(5)   Post Evacuate Collection Set: 0.3ms
[2026-05-08T19:25:44.183+0530][0.603s][info][gc,phases   ] GC(5)   Other: 0.1ms
[2026-05-08T19:25:44.183+0530][0.603s][info][gc,heap     ] GC(5) Eden regions: 21->0(21)
[2026-05-08T19:25:44.183+0530][0.603s][info][gc,heap     ] GC(5) Survivor regions: 4->4(4)
