Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for windows-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:11:30 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16539104k(7300292k free), swap 22864340k(4694752k free)
CommandLine flags: -XX:InitialHeapSize=209715200 -XX:MaxHeapSize=209715200 -XX:ParallelGCThreads=4 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2021-07-02T07:39:40.034+0530: 7.576: [Full GC (Ergonomics) [PSYoungGen: 51712K->51712K(59904K)] [ParOldGen: 136574K->136574K(136704K)] 188286K->188286K(196608K), [Metaspace: 3113K->3113K(1056768K)], 0.1455545 secs] [Times: user=0.56 sys=0.00, real=0.15 secs] 
2021-07-02T07:39:40.180+0530: 7.722: [Full GC (Ergonomics) [PSYoungGen: 51712K->51712K(59904K)] [ParOldGen: 136575K->136575K(136704K)] 188287K->188287K(196608K), [Metaspace: 3113K->3113K(1056768K)], 0.1652857 secs] [Times: user=0.69 sys=0.00, real=0.16 secs] 
2021-07-02T07:39:40.347+0530: 7.888: [Full GC (Ergonomics) [PSYoungGen: 51712K->51712K(59904K)] [ParOldGen: 136577K->136577K(136704K)] 188289K->188289K(196608K), [Metaspace: 3113K->3113K(1056768K)], 0.1657059 secs] [Times: user=0.64 sys=0.00, real=0.17 secs] 
2021-07-02T07:39:40.512+0530: 8.054: [Full GC (Ergonomics) [PSYoungGen: 51712K->51712K(59904K)] [ParOldGen: 136578K->136578K(136704K)] 188290K->188290K(196608K), [Metaspace: 3113K->3113K(1056768K)], 0.1828452 secs] [Times: user=0.69 sys=0.00, real=0.18 secs] 
2021-07-02T07:39:40.696+0530: 8.237: [Full GC (Ergonomics) [PSYoungGen: 51712K->51712K(59904K)] [ParOldGen: 136579K->136579K(136704K)] 188291K->188291K(196608K), [Metaspace: 3113K->3113K(1056768K)], 0.1896964 secs] [Times: user=0.75 sys=0.00, real=0.19 secs] 
2021-07-02T07:39:40.886+0530: 8.428: [Full GC (Ergonomics) [PSYoungGen: 51712K->51712K(59904K)] [ParOldGen: 136581K->136581K(136704K)] 188293K->188293K(196608K), [Metaspace: 3113K->3113K(1056768K)], 0.2263095 secs] [Times: user=0.92 sys=0.00, real=0.23 secs] 
2021-07-02T07:39:41.113+0530: 8.654: [Full GC (Ergonomics) [PSYoungGen: 51712K->51712K(59904K)] [ParOldGen: 136582K->136582K(136704K)] 188294K->188294K(196608K), [Metaspace: 3113K->3113K(1056768K)], 0.2123813 secs] [Times: user=0.86 sys=0.00, real=0.21 secs] 
2021-07-02T07:39:41.325+0530: 8.867: [Full GC (Ergonomics) [PSYoungGen: 51712K->51712K(59904K)] [ParOldGen: 136584K->136583K(136704K)] 188296K->188295K(196608K), [Metaspace: 3113K->3113K(1056768K)], 0.1966309 secs] [Times: user=0.75 sys=0.00, real=0.20 secs] 
2021-07-02T07:39:41.523+0530: 9.064: [Full GC (Ergonomics) [PSYoungGen: 51712K->51712K(59904K)] [ParOldGen: 136585K->136585K(136704K)] 188297K->188297K(196608K), [Metaspace: 3113K->3113K(1056768K)], 0.2069214 secs] [Times: user=0.81 sys=0.00, real=0.21 secs] 
2021-07-02T07:39:41.729+0530: 9.271: [Full GC (Ergonomics) [PSYoungGen: 51712K->51712K(59904K)] [ParOldGen: 136586K->136586K(136704K)] 188298K->188298K(196608K), [Metaspace: 3113K->3113K(1056768K)], 0.2249424 secs] [Times: user=0.92 sys=0.00, real=0.23 secs] 
2021-07-02T07:39:41.955+0530: 9.496: [Full GC (Ergonomics) [PSYoungGen: 51712K->51712K(59904K)] [ParOldGen: 136588K->136587K(136704K)] 188300K->188299K(196608K), [Metaspace: 3113K->3113K(1056768K)], 0.2295595 secs] [Times: user=0.88 sys=0.00, real=0.23 secs] 
2021-07-02T07:39:42.184+0530: 9.726: [Full GC (Ergonomics) [PSYoungGen: 51712K->51712K(59904K)] [ParOldGen: 136589K->136589K(136704K)] 188301K->188301K(196608K), [Metaspace: 3113K->3113K(1056768K)], 0.1766568 secs] [Times: user=0.69 sys=0.00, real=0.18 secs] 
2021-07-02T07:39:42.362+0530: 9.903: [Full GC (Ergonomics) [PSYoungGen: 51712K->51712K(59904K)] [ParOldGen: 136590K->136590K(136704K)] 188302K->188302K(196608K), [Metaspace: 3113K->3113K(1056768K)], 0.1633555 secs] [Times: user=0.63 sys=0.00, real=0.16 secs] 
2021-07-02T07:39:42.525+0530: 10.067: [Full GC (Ergonomics) [PSYoungGen: 51712K->51712K(59904K)] [ParOldGen: 136592K->136591K(136704K)] 188304K->188303K(196608K), [Metaspace: 3113K->3113K(1056768K)], 0.1719800 secs] [Times: user=0.69 sys=0.00, real=0.17 secs] 
2021-07-02T07:39:42.698+0530: 10.239: [Full GC (Ergonomics) [PSYoungGen: 51712K->51712K(59904K)] [ParOldGen: 136593K->136593K(136704K)] 188305K->188305K(196608K), [Metaspace: 3113K->3113K(1056768K)], 0.1682101 secs] [Times: user=0.69 sys=0.00, real=0.17 secs] 
2021-07-02T07:39:42.866+0530: 10.408: [Full GC (Ergonomics) [PSYoungGen: 51712K->51712K(59904K)] [ParOldGen: 136594K->136594K(136704K)] 188306K->188306K(196608K), [Metaspace: 3113K->3113K(1056768K)], 0.1712898 secs] [Times: user=0.64 sys=0.00, real=0.17 secs] 
2021-07-02T07:39:43.038+0530: 10.579: [Full GC (Ergonomics) [PSYoungGen: 51712K->51712K(59904K)] [ParOldGen: 136596K->136596K(136704K)] 188308K->188308K(196608K), [Metaspace: 3113K->3113K(1056768K)], 0.1661601 secs] [Times: user=0.69 sys=0.00, real=0.16 secs] 
2021-07-02T07:39:43.203+0530: 10.746: [Full GC (Ergonomics) [PSYoungGen: 51712K->51712K(59904K)] [ParOldGen: 136597K->136597K(136704K)] 188309K->188309K(196608K), [Metaspace: 3113K->3113K(1056768K)], 0.1676682 secs] [Times: user=0.69 sys=0.00, real=0.17 secs] 
2021-07-02T07:39:43.372+0530: 10.914: [Full GC (Ergonomics) [PSYoungGen: 51712K->51712K(59904K)] [ParOldGen: 136598K->136598K(136704K)] 188310K->188310K(196608K), [Metaspace: 3113K->3113K(1056768K)], 0.1695771 secs] [Times: user=0.63 sys=0.00, real=0.17 secs] 
2021-07-02T07:39:43.543+0530: 11.084: [Full GC (Ergonomics) [PSYoungGen: 51712K->51712K(59904K)] [ParOldGen: 136600K->136600K(136704K)] 188312K->188312K(196608K), [Metaspace: 3113K->3113K(1056768K)], 0.1893906 secs] [Times: user=0.81 sys=0.00, real=0.19 secs] 
2021-07-02T07:39:43.732+0530: 11.274: [Full GC (Ergonomics) [PSYoungGen: 51712K->51712K(59904K)] [ParOldGen: 136601K->136601K(136704K)] 188313K->188313K(196608K), [Metaspace: 3113K->3113K(1056768K)], 0.1745000 secs] [Times: user=0.69 sys=0.00, real=0.17 secs] 
2021-07-02T07:39:43.907+0530: 11.449: [Full GC (Ergonomics) [PSYoungGen: 51712K->51712K(59904K)] [ParOldGen: 136603K->136602K(136704K)] 188315K->188314K(196608K), [Metaspace: 3113K->3113K(1056768K)], 0.1693065 secs] [Times: user=0.69 sys=0.00, real=0.17 secs] 
2021-07-02T07:39:44.076+0530: 11.618: [Full GC (Ergonomics) [PSYoungGen: 51712K->51712K(59904K)] [ParOldGen: 136604K->136604K(136704K)] 188316K->188316K(196608K), [Metaspace: 3113K->3113K(1056768K)], 0.1625893 secs] [Times: user=0.63 sys=0.00, real=0.16 secs] 
2021-07-02T07:39:44.239+0530: 11.781: [Full GC (Ergonomics) [PSYoungGen: 51712K->51712K(59904K)] [ParOldGen: 136605K->136605K(136704K)] 188317K->188317K(196608K), [Metaspace: 3113K->3113K(1056768K)], 0.1686379 secs] [Times: user=0.64 sys=0.00, real=0.17 secs] 
2021-07-02T07:39:44.408+0530: 11.950: [Full GC (Ergonomics) [PSYoungGen: 51712K->51712K(59904K)] [ParOldGen: 136607K->136606K(136704K)] 188319K->188318K(196608K), [Metaspace: 3113K->3113K(1056768K)], 0.1765905 secs] [Times: user=0.69 sys=0.00, real=0.18 secs] 
2021-07-02T07:39:44.585+0530: 12.127: [Full GC (Ergonomics) [PSYoungGen: 51712K->51677K(59904K)] [ParOldGen: 136608K->136596K(136704K)] 188320K->188274K(196608K), [Metaspace: 3113K->3113K(1056768K)], 0.2555301 secs] [Times: user=0.98 sys=0.00, real=0.26 secs] 
